Date,Incoming Calls,Answered Calls,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG)
2022-01-01,,,,,,
2022-01-02,,,,,,
2022-01-03,317.0,304.0,13.0,0:00:18,0:01:35,0:02:37
2022-01-04,253.0,244.0,9.0,0:00:13,0:01:50,0:02:02
2022-01-05,214.0,205.0,9.0,0:00:10,0:02:10,0:03:22
2022-01-06,222.0,200.0,22.0,0:00:15,0:02:18,0:06:12
2022-01-07,375.0,348.0,27.0,0:00:19,0:01:40,0:03:29
2022-01-08,,,,,,
2022-01-09,,,,,,
2022-01-10,232.0,222.0,10.0,0:00:08,0:01:49,0:02:18
2022-01-11,206.0,197.0,9.0,0:00:07,0:01:52,0:02:48
2022-01-12,343.0,313.0,30.0,0:00:13,0:01:51,0:03:40
2022-01-13,181.0,174.0,7.0,0:00:13,0:02:18,0:03:26
2022-01-14,229.0,211.0,18.0,0:00:20,0:02:04,0:04:53
2022-01-15,228.0,212.0,16.0,0:00:10,0:02:03,0:02:45
2022-01-16,45.0,44.0,1.0,0:00:02,0:02:04,0:00:55
2022-01-17,222.0,194.0,28.0,0:00:26,0:02:43,0:06:28
2022-01-18,189.0,174.0,15.0,0:00:15,0:02:16,0:04:39
2022-01-19,192.0,184.0,8.0,0:00:10,0:02:09,0:03:40
2022-01-20,190.0,174.0,16.0,0:00:15,0:02:25,0:03:09
2022-01-21,155.0,148.0,7.0,0:00:10,0:02:27,0:03:36
2022-01-22,169.0,150.0,19.0,0:00:18,0:02:26,0:04:38
2022-01-23,58.0,57.0,1.0,0:00:04,0:02:26,0:00:58
2022-01-24,161.0,153.0,8.0,0:00:10,0:02:23,0:02:45
2022-01-25,87.0,79.0,8.0,0:00:32,0:02:43,0:04:40
2022-01-26,182.0,170.0,12.0,0:00:23,0:02:31,0:05:45
2022-01-27,213.0,192.0,21.0,0:00:26,0:02:16,0:05:35
2022-01-28,164.0,157.0,7.0,0:00:14,0:02:19,0:02:55
2022-01-29,143.0,140.0,3.0,0:00:15,0:02:20,0:04:43
2022-01-30,57.0,55.0,2.0,0:00:06,0:02:03,0:01:50
2022-01-31,180.0,172.0,8.0,0:00:13,0:02:17,0:03:23
2022-02-01,196.0,184.0,12.0,0:00:24,0:02:24,0:03:19
2022-02-02,202.0,196.0,6.0,0:00:15,0:02:16,0:04:53
2022-02-03,223.0,189.0,34.0,0:00:32,0:02:37,0:08:04
2022-02-04,194.0,190.0,4.0,0:00:16,0:02:22,0:02:02
2022-02-05,228.0,219.0,9.0,0:00:15,0:02:44,0:03:55
2022-02-06,52.0,52.0,0.0,0:00:09,0:02:16,0:00:52
2022-02-07,388.0,370.0,18.0,0:00:20,0:02:11,0:03:10
2022-02-08,138.0,130.0,8.0,0:00:16,0:02:26,0:09:47
2022-02-09,254.0,252.0,2.0,0:00:10,0:02:08,0:01:10
2022-02-10,212.0,206.0,6.0,0:00:11,0:02:24,0:04:37
2022-02-11,282.0,279.0,3.0,0:00:07,0:02:18,0:01:11
2022-02-12,262.0,260.0,2.0,0:00:08,0:02:31,0:01:13
2022-02-13,65.0,63.0,2.0,0:00:12,0:02:22,0:02:10
2022-02-14,325.0,323.0,2.0,0:00:05,0:02:13,0:01:14
2022-02-15,236.0,230.0,6.0,0:00:05,0:02:19,0:00:58
2022-02-16,215.0,212.0,3.0,0:00:05,0:02:14,0:00:58
2022-02-17,85.0,85.0,0.0,0:00:03,0:02:26,0:00:55
2022-02-18,195.0,195.0,0.0,0:00:05,0:02:24,0:02:13
2022-02-19,189.0,182.0,7.0,0:00:15,0:02:14,0:01:51
2022-02-20,58.0,58.0,0.0,0:00:06,0:02:22,0:00:52
2022-02-21,251.0,247.0,4.0,0:00:14,0:02:16,0:01:53
2022-02-22,181.0,178.0,3.0,0:00:12,0:02:24,0:01:57
