Date,Incoming Calls,Talk Duration (AVG),Waiting Time (AVG),Product Group
2025-03-01,298,184,284,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-02,32,163,70,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-03,271,172,120,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-04,212,163,154,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-05,247,173,228,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-06,194,163,214,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-07,179,164,103,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-08,67,156,119,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-09,27,147,93,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-10,191,158,174,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-11,214,158,302,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-12,208,156,173,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-13,166,161,211,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-14,170,172,217,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-15,176,149,232,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-16,43,162,29,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-17,24,166,3,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-18,26,172,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-19,42,161,3,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-20,37,144,290,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-21,60,187,61,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-22,82,144,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-23,31,140,61,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-24,179,163,126,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-25,184,147,278,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-26,39,173,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-27,170,144,170,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-28,182,166,269,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-29,24,156,21,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-30,7,159,93,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-03-31,181,167,89,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-01,209,162,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-02,180,148,62,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-03,224,163,175,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-04,255,168,187,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-05,637,159,320,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-06,168,190,235,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-07,608,155,290,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-08,304,155,175,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-09,268,176,114,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-10,287,160,174,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-11,196,163,126,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-12,191,180,154,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-13,60,118,59,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-14,216,160,104,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-15,222,155,107,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-16,202,166,58,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-17,205,168,69,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-18,202,164,149,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-19,141,111,116,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-20,29,189,107,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-21,403,171,253,PRODUCT_ABC_DESKTOP_EN_CHAT
2025-04-22,256,181,129,PRODUCT_ABC_DESKTOP_EN_CHAT
